Bahnhof               | id 
Brunnthal (b München) Gudrunsiedlung | de:09184:2305
Brunnthal (b München) Haidstraße | de:09184:2313
Brunnthal (b München) St.-Georg-Straße | de:09184:2311
Brunnthal (b München) Zusestraße | de:09184:2315
Buch am Buchrain Buch am Buchrain | de:09177:3442
Buch am Buchrain Buch-Vorstadt | de:09177:3444
Buch (Ammersee) Abzw. Seeleiten | de:09188:5432
Buch (Ammersee) Buch (Schiff) | de:09188:9929
Buch (Ammersee) Gemeindehaus | de:09188:5434
Buchbach (Obb.) Buchbach | de:09183:6601
Buchberg (Geretsried) Buchberg | de:09173:4762
Buchenau (FFB) Buchenau Bf. Süd | de:09179:6641
Buchenau (FFB) Buchenau | de:09179:6200
Buchenau (FFB) Kastanienweg | de:09179:5802
Buchenau (FFB) Kiefernstraße | de:09179:5803
Buchenau (FFB) Kirschbaumstraße | de:09179:6661
Buchendorf (b Gauting) Buchendorf | de:09188:5620
Buchendorf (b Gauting) Neurieder Straße | de:09188:5625
Buchenhain (Obb.) Buchenhain | de:09184:2540
Buchhof (Starnberg) Buchhof | de:09188:5452
Buch (Holzkirchen) Buch | de:09182:43238
Buch (Kirchseeon) Buch | de:09175:4027
Buchschachen (Kr Erding) Buchschachen | de:09177:9682
Burger Burgern | de:09173:9374
Burgharting (Kr Erding) Burgharting | de:09177:3615
Burghausen (Kirchdorf an der Amper) Burghausen | de:09178:2755
Burgrain (Kr Erding) Burgrain, Ortsmitte | de:09177:3366
Burgrain (Kr Erding) Burgstraße | de:09177:3447
Daburg Daburg | de:09187:41408
Dachau Alte Römerstraße | de:09174:7074
Dachau Am Rehsteig | de:09174:7094
Dachau Am Rennplatz | de:09174:7030
Dachau Augsburger Straße | de:09174:6804
Dachau August-Pfaltz-Straße | de:09174:7043
Dachau Bahnhofstraße | de:09174:7008
Dachau Breitenauer Weg | de:09174:7097
Dachau Breslauer Platz | de:09174:7046
Dachau Brucker Straße | de:09174:6806
Dachau Buchenlandstraße | de:09174:7045
Dachau Dachau | de:09174:6800
Dachau Dachau Stadt | de:09174:6850
Dachau Dr.-Engert-Straße | de:09174:7035
Dachau Eduard-Ziegler-Straße | de:09174:7090
Dachau Egerer Straße | de:09174:7038
Dachau Enzianweg | de:09174:7098
Dachau Erasmus-Reismüller-Straße | de:09174:6807
Dachau Ernst-Reuter-Platz | de:09174:7044
Dachau Eschenrieder Straße | de:09174:7011
Dachau Familienbad | de:09174:7018
Dachau Feldiglstraße | de:09174:7029
Dachau Festwiese | de:09174:7057
Dachau Frühlingstraße | de:09174:6874
Dachau Fünfkirchner Straße | de:09174:7042
Dachau Gaußstraße | de:09174:7017
Dachau Gottesackerstraße | de:09174:7026
Dachau Graf-Konrad-Straße | de:09174:7083
Dachau Hallenbad | de:09174:7016
Dachau Ignaz-Taschner-Gymnasium | de:09174:7052
Dachau J.-F.-Kennedy-Platz | de:09174:6928
Dachau Johann-Pflügler-Straße | de:09174:7086
Dachau Josef-Effner-Gymnasium | de:09174:7034
Dachau Julius-Kohn-Weg | de:09174:7037
Dachau Karl-Benz-Straße | de:09174:7081
Dachau Kath. Altenheim | de:09174:7014
Dachau Klagenfurter Platz | de:09174:7092
Dachau Klinikum | de:09174:7051
Dachau Kloster Karmel | de:09174:7078
Dachau Kopernikusstraße | de:09174:7075
Dachau Kräutergarten | de:09174:7080
Dachau KZ-Gedenkstätte | de:09174:7077
Dachau Landratsamt | de:09174:7020
Dachau Leitenweg | de:09174:6878
Dachau Lessingstraße | de:09174:7006
Dachau Liegnitzer Straße | de:09174:7048
Dachau Liegsalzstraße | de:09174:7031
Dachau Ludwig-Dill-Straße | de:09174:7013
Dachau Ludwig-Ernst-Straße | de:09174:7036
Dachau Ludwig-Ganghofer-Straße | de:09174:7053
Dachau Ludwig-Thoma-Schule | de:09174:7082
Dachau Ludwig-Thoma-Straße | de:09174:6802
Dachau Martin-Huber-Straße | de:09174:7058
Dachau Max-Planck-Straße | de:09174:7073
Dachau Mittermayerstraße | de:09174:7022
Dachau Moosstraße | de:09174:7096
